name,number,element,aethyr,translation,personality_traits,domains,essence,themes,verse,boon,tarot,sephirah,zodiac_angel,historical_context,source_references,visual_color_palette,visual_emblem,visual_aura,personality_trait_count,domain_count,essence_length,themes_length,verse_length,boon_length,historical_context_length
OCCODON,1,Water,LIL,He whose name is renewal,"integrative, mercurial, empathic, poised","polarity alchemy, dream incubation",OCCODON is the *First Current*—the pulse of primordial tide that dissolves the debris of aeons and baptises form into new becoming. Egyptians knew him as the hidden swell beneath the Nile’s yearly flood.,"*Virtues*: resilience, merciful renewal, fertility of mind.
*Vices*: stagnation, despair, necrophilic clinging to spent cycles.",“From the flood‑gate of his chalice all beginnings are poured.”,*Wave‑Sigil* grants +1 daily energy **but** halves token rewards during eclipses—OCCODON teaches growth through ebb as well as flow.,,,,#### **1 · OCCODON** — *“He whose name is renewal”*,Primary sources pending compilation.,water,mechanical,"integrative, mercurial",4,2,203,127,63,132,51
PASCOMB,2,Water,LIL,He who precedes understanding,"catalytic, restless, strategic","conflict geometry, sacred cartography","PASCOMB is the diamond‑spark on the cusp of dawn—intuition before thought, the proto‑logos.","*Virtues*: curiosity, intellectual humility, patient incubation.
*Vices*: presumption, dogma, rash theorising.",“The spark that blinds is also the spark that guides.”,Starseed Sigil boosts puzzle RNG luck yet doubles chaos‑event curse chance—knowledge courts peril.,,,,#### **2 · PASCOMB** — *“He who precedes understanding”*,Primary sources pending compilation.,water,resolute,"catalytic, restless",3,2,91,110,54,98,56
VALGARS,3,Water,LIL,He who works with that which is,"enterprising, stalwart, pragmatic","guild craft, herbal metallurgy","Master‑artisan of reality; he teaches transmutation through *present* resources, turning base circumstance into holy craft.","*Virtues*: diligence, integrity, pragmatic vision.
*Vices*: escapism, waste, idle fantasia.","“What is, is the furnace of what may yet be.”",Key halves crafting costs but prevents fast‑travel—craftsman must walk his workshop floor.,,,,#### **3 · VALGARS** — *“He who works with that which is”*,Primary sources pending compilation.,water,dark,"enterprising, stalwart",3,2,123,91,45,90,58
DOAGNIS,4,Water,ARN,She who comes without a name,"discerning, alluring, even‑handed","shadow psychometry, lunar judicature",She is the anonymous benefaction—the answer that slips in unlabelled.,"*Virtues*: humility, receptivity, silent courage.
*Vices*: doctrinal rigidity, prejudice, name‑magic abuse.",“That which escapes the tongue weaves the deepest spell.”,Grimoire grants +1 secret‑slot inventory but hides player name from global leaderboards—obscurity as both shield and shroud.,,,,#### **4 · DOAGNIS** — *“She who comes without a name”*,Primary sources pending compilation.,water,"beautiful, full","discerning, alluring",3,2,69,107,57,124,55
PACASNA,5,Water,ARN,She who is unchanged by time,"cathartic, secretive, resilient","death‑rites, serpent tantra","She is the still‑point of eternity, the unmoved center about which aeons wheel.","*Virtues*: steadfast loyalties, equanimity, foresight.
*Vices*: fickleness, novelty worship, mortality dread.","“In the hush between heartbeats, the cosmos remembers itself.”",Evergreen negates artifact decay timers yet doubles offering costs—eternity is expensive.,,,,#### **5 · PACASNA** — *“She who is unchanged by time”*,Primary sources pending compilation.,water,resolute,"cathartic, secretive",3,2,79,109,62,89,55
DIALOIA,6,Water,ARN,The god where truth is,"truth‑seeking, sincere, philosophical","hydromancy, number mysticism","Embodied Logos—wherever truth stands revealed, there is Dialoia enthroned.","*Virtues*: integrity, lucid discernment, faith in verity.
*Vices*: deceit, relativistic apathy, false prophecy.","“Cut deep enough, and the vein of creation runs crystal.”",Seal grants immunity to Chaos curses but forces public display of all future choices—truth’s price is transparency.,,,,#### **6 · DIALOIA** — *“The god where truth is”*,Primary sources pending compilation.,water,"beautiful, full","truth seeking, sincere",3,2,74,111,57,115,49
SAMAPHA,7,Water,ZOM,He who is with continuity,"meticulous, nurturing, analytical","plant alchemy, ritual hygiene",Guardian of the golden thread—ensuring identity endures through all transformations.,"*Virtues*: perseverance, loyal memory, narrative coherence.
*Vices*: amnesia of purpose, abandonment, fragmentation.","“Stretch the thread through lifetimes; it will not snap, only weave.”",Thread allows one checkpoint skip per day **but** permanently logs player death count—continuity records even failure.,,,,#### **7 · SAMAPHA** — *“He who is with continuity”*,Primary sources pending compilation.,water,"fierce, active","meticulous, nurturing",3,2,84,116,69,118,52
VIROOLI,8,Water,ZOM,He who made the first nest,"eruptive, iconoclastic, awe‑inspiring","storm magic, temple architecture",Architect of the *primordial sanctuary*—the inner chamber each soul must raise before commanding outer realms.,"Virtues: spiritual hospitality, inner order, protective devotion.
Vices: profanation, rootlessness, cluttered spirit.",“In the smallest shell sleeps the echo of every cathedral.”,Glyph grants cheaper shrine‑building yet doubles offering costs during eclipses.,,,,#### **8 · VIROOLI** — *“He who made the first nest”*,Primary sources pending compilation.,water,dark,"eruptive, iconoclastic",3,2,110,117,59,80,53
ANDISPI,9,Water,ZOM,He who binds into obedience,"binding, harmonic, loyal","myth‑weaving, acoustic healing",Personification of **covenant**—the resonant vow knitting separate wills into living harmony.,"Virtues: loyal consent, rhythmic discipline.
Vices: coercion, oath‑breaking, tyrannic force.","“Without concord, the flood returns to chaos.”",Seal halves pact fees but forbids unilateral item trades for 24 blocks.,,,,#### **9 · ANDISPI** — *“He who binds into obedience”*,Primary sources pending compilation.,water,"spiritual, winged","binding, harmonic",3,2,93,92,46,71,54
ZIXLAYI,10,Water,ZOM,She whose visits bring victory,"triumphant, motivational, far‑sighted","evolutionary lore, angelic philology",Catalyst of **triumphant momentum**—the precise updraft that lets evolution leap.,"Virtues: strategic patience, catalytic optimism.
Vices: premature acclaim, victory hubris.",“The hour of the leap is written in silk long before the wing unfolds.”,Banner boosts first‑strike RNG but disables stealth rituals while held.,,,,#### **10 · ZIXLAYI** — *“She whose visits bring victory”*,Primary sources pending compilation.,water,"expressive, thin","triumphant, motivational",3,2,81,90,71,71,58
